Disease|Description
dumping syndrome|Dumping syndrome occurs when food moves too quickly from the stomach to the small intestine, often after gastric surgery. Symptoms include nausea, diarrhea, bloating, dizziness, and rapid heartbeat. Treatment includes dietary changes (small, low-sugar meals), medications, and sometimes surgery.
lymphadenitis|Lymphadenitis is inflammation of the lymph nodes due to infection. Symptoms include swollen, tender lymph nodes, fever, and redness over the affected area. Treatment involves antibiotics for bacterial causes, and pain relief; severe cases may require drainage.
injury to the face|Facial injuries include cuts, fractures, and soft tissue damage. Symptoms depend on severity and include pain, swelling, bruising, and bleeding. Treatment ranges from wound care and pain management to surgical repair.
aortic valve disease|Aortic valve disease involves the narrowing (stenosis) or leaking (regurgitation) of the aortic valve. Symptoms include chest pain, fatigue, shortness of breath, and fainting. Treatment may include medications, monitoring, or valve replacement surgery.
rheumatoid arthritis|Rheumatoid arthritis is an autoimmune disease causing chronic joint inflammation. Symptoms include joint pain, swelling, stiffness, and fatigue. Treatment includes disease-modifying antirheumatic drugs (DMARDs), biologics, NSAIDs, and physical therapy.
spermatocele|A spermatocele is a fluid-filled cyst in the epididymis of the testicle. It is usually painless and found incidentally. Treatment is generally not needed unless it causes discomfort, in which case surgical removal may be done.
impetigo|Impetigo is a highly contagious bacterial skin infection, common in children. Symptoms include red sores that rupture and form a honey-colored crust. Treatment includes topical or oral antibiotics and maintaining hygiene to prevent spread.
anal fistula|An anal fistula is an abnormal tunnel between the anal canal and the skin. Symptoms include pain, swelling, discharge, and irritation. Treatment usually requires surgery (fistulotomy) to remove or close the tract.
hypothermia|Hypothermia occurs when body temperature drops below 95°F (35°C), often due to prolonged cold exposure. Symptoms include shivering, confusion, slurred speech, and loss of coordination. Treatment involves warming the body through blankets, warm fluids, and in severe cases, advanced medical rewarming techniques.
oppositional disorder|Oppositional defiant disorder (ODD) is a behavioral condition in children characterized by defiance, irritability, and hostility toward authority figures. Symptoms include frequent temper loss, argumentativeness, and spiteful behavior. Treatment includes behavioral therapy, parent training, and sometimes medication for coexisting conditions.
migraine|Migraine is a neurological condition marked by intense, throbbing headaches, often with nausea, sensitivity to light and sound, and visual disturbances (auras). Treatment includes pain relievers, triptans, anti-nausea medications, and preventive drugs like beta-blockers or anti-seizure medications.
diabetic peripheral neuropathy|Diabetic peripheral neuropathy is nerve damage from prolonged high blood sugar levels. Symptoms include tingling, burning, numbness, and pain in the extremities. Treatment focuses on blood sugar control, pain relief (with antidepressants or anticonvulsants), and foot care.
testicular disorder|Testicular disorders include inflammation, infection, trauma, or tumors affecting the testicles. Symptoms may include pain, swelling, lumps, or infertility. Treatment depends on the cause and may include antibiotics, pain management, or surgery.
gestational diabetes|Gestational diabetes is high blood sugar during pregnancy. It often has no symptoms but can cause complications for the mother and baby. Treatment includes diet management, blood sugar monitoring, physical activity, and insulin if needed.
hidradenitis suppurativa|Hidradenitis suppurativa is a chronic skin condition with painful lumps under the skin, typically in armpits or groin. Symptoms include blackheads, pus-filled lumps, and scarring. Treatment includes antibiotics, anti-inflammatory medications, hormone therapy, and surgical removal of affected tissue.
valley fever|Valley fever (coccidioidomycosis) is a fungal infection from inhaling spores found in soil, mostly in the southwestern U.S. Symptoms include fever, cough, fatigue, and chest pain. Most cases resolve without treatment, but antifungal medications are used in moderate to severe cases.
conjunctivitis due to bacteria|Bacterial conjunctivitis is an eye infection causing redness, swelling, discharge, and crusting. It spreads easily through contact. Treatment includes antibiotic eye drops or ointment and hygiene measures to prevent transmission.
lewy body dementia|Lewy body dementia is a progressive brain disorder caused by abnormal protein deposits in the brain. Symptoms include fluctuating cognition, visual hallucinations, Parkinson-like movement problems, and sleep disturbances. Treatment includes cholinesterase inhibitors, antipsychotics (used cautiously), and supportive therapies.
multiple myeloma|Multiple myeloma is a cancer of plasma cells in the bone marrow. Symptoms include bone pain, fatigue, frequent infections, and kidney dysfunction. Treatment includes chemotherapy, targeted therapy, immunotherapy, stem cell transplant, and supportive care for bone health and anemia.
head injury|A head injury can range from a mild concussion to a severe traumatic brain injury. Symptoms include headache, confusion, dizziness, nausea, and in severe cases, unconsciousness. Treatment depends on severity and includes rest, medication for symptoms, and emergency care for serious trauma.
ascending cholangitis|Ascending cholangitis is a bacterial infection of the bile ducts, often due to obstruction (like gallstones). Symptoms include fever, jaundice, abdominal pain, and confusion. It’s a medical emergency treated with IV antibiotics and often an ERCP procedure to remove the blockage.
